"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"ประสาท เนืองเฉลิม","คณะศึกษาศาสตร์","ภาควิชาหลักสูตรและการสอน","35099135800","https://www.scopus.com/authid/detail.uri?authorId=35099135800","0000-0002-5361-0377","66","531","450","14"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Comparative study of scientific literacy: Indonesian and thai pre-service science teachers report","2020","Journal","International Journal of Evaluation and Research in Education","9","2","pp. 261–268","El Islami R.A.Z., Nuangchalerm P.","14","10.11591/ijere.v9i2.20355","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086451752&origin=inward","2-s2.0-85086451752"
"Interaction between scientific attitudes and science process skills toward technological pedagogical content knowledge","2020","Journal","Journal for the Education of Gifted Young Scientists","8","1","pp. 1–16","Juhji J., Nuangchalerm P.","28","10.17478/jegys.600979.XX","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85080925449&origin=inward","2-s2.0-85080925449"
"Investigating understanding the nature of science","2019","Journal","International Journal of Evaluation and Research in Education","8","4","pp. 719–725","Prachagool V., Nuangchalerm P.","8","10.11591/ijere.v8i4.20282","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077892048&origin=inward","2-s2.0-85077892048"
"The effect of SSI overlap STEM Education on Secondary Students' Socio-scientific decision making","2019","Conference Proceeding","Journal of Physics Conference Series","1340","1","","Siribunnam S., Bednarova R., Nuangchalerm P.","2","10.1088/1742-6596/1340/1/012006","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075255425&origin=inward","2-s2.0-85075255425"
"Engaging students to perceive nature of science through socioscientific issues-based instruction","2010","Journal","European Journal of Social Sciences","13","1","pp. 34–37","Nuangchalerm P.","31","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77749305243&origin=inward","2-s2.0-77749305243"
"Implementing professional experiences to prepare preservice science teachers","2009","Journal","Social Sciences","4","4","pp. 388–391","Nuangchalerm P.","4","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77951733440&origin=inward","2-s2.0-77951733440"
"Preservice teachers perception about nature of science","2009","Journal","Social Sciences","4","5","pp. 463–467","Nuangchalerm P.","13","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=70350141239&origin=inward","2-s2.0-70350141239"
"Comparisons of mathematics achievement, attitude towards mathematics and analytical thinking between using the geometer's sketchpad program as media and conventional learning activities","2009","Journal","Australian Journal of Basic and Applied Sciences","3","3","pp. 3036–3039","Phonguttha R., Tayraukham S., Nuangchalerm P.","10","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77952269623&origin=inward","2-s2.0-77952269623"
"Notice of Retraction: Preservice teachers' perception about nature of science","2009","Conference Proceeding","5th International Conference on Natural Computation Icnc 2009","5","","pp. 199–203","Nuangchalerm P.","0","10.1109/ICNC.2009.16","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77950550862&origin=inward","2-s2.0-77950550862"
"Comparisons of mathematics achievement, attitude towards mathematics and analytical thinking between using the geometer's sketchpad program as media and conventional learning activities","2008","Conference Proceeding","Imsci 2008 2nd International Multi Conference on Society Cybernetics and Informatics Proceedings","2","","pp. 97–99","Phonguttha R., Tayraukham S., Nuangchalerm P.","5","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84896624319&origin=inward","2-s2.0-84896624319"
