"นักวิจัย","คณะ","ภาควิชา","ช่วงเวลา"
"ทั้งหมดตามตัวกรอง","คณะศึกษาศาสตร์","- เลือกทุกภาควิชา -","ทั้งหมด"

"No.","Firstname (EN)","Lastname (EN)","ชื่อ-สกุล (TH)","ภาควิชา","Documents","Citations","h-index","Scopus ID","Scopus URL","Last Scopus Fetch"
"47","MANWIKA","KITTIPRON","มาณวิกา กิตติพร","ภาควิชาเทคโนโลยีและสื่อสารการศึกษา","1","0","0","58024435200","https://www.scopus.com/authid/detail.uri?authorId=58024435200","2026-08-31 02:49:57"
"48","SUDARES","SIRISITTANAPAK","สุดาเรศ ศิริสิทธิ์ธนภาค","ภาควิชาหลักสูตรและการสอน","1","0","0","60428545100","https://www.scopus.com/authid/detail.uri?authorId=60428545100","2026-08-31 02:47:24"
"49","Suttipong","Hoxsuwan","สุทธิพงศ์ หกสุวรรณ","ภาควิชาหลักสูตรและการสอน","1","0","0","57223048908","https://www.scopus.com/authid/detail.uri?authorId=57223048908","2026-08-31 02:46:07"
"50","HEMMIN","THANAPATMEEMANEE","เหมมิญช์ ธนปัทม์มีมณี","ภาควิชาเทคโนโลยีและสื่อสารการศึกษา","1","0","0","60429331400","https://www.scopus.com/authid/detail.uri?authorId=60429331400","2026-08-31 02:49:46"
"51","Hossana Praise ","Santos Calangian","Miss.Hossana Praise Santos Calangian","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
"52","NAN","INGYIN PHYU","NAN INGYIN PHYU","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
"53","KOKEIT ","KWUNSAKUL","ก่อเกียรติ ขวัญสกุล","ภาควิชาเทคโนโลยีและสื่อสารการศึกษา","0","0","0","","",""
"54","CHARUWAT","CHANTAWAT","จารุวัฒน์ จันทวัติ","ภาควิชาวิจัยและพัฒนาการศึกษา","0","0","0","","",""
"55","chittra"," chanagul","จิตรา ชนะกุล","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
"56","Jutatip ","Thumsiriwat","จุฑาทิพย์ ธรรมสิริวัฒน์","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
"57","Chanat ","Inkanok","ชนัต อินทะกนก","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
"58","CHIRAWUT ACHARIYACHEEVIN","","ชิระวุฒิ อัจฉริยชีวิน","ภาควิชาวิทยาศาสตร์สุขภาพและการกีฬา","0","0","0","","",""
"59","THANADOL ","PHUSEERIT","ธนดล ภูสีฤทธิ์","ภาควิชาเทคโนโลยีและสื่อสารการศึกษา","0","0","0","","",""
"60","BONGKOTKORN ","SUPAKESORN","บงกชกร ศุภเกษร","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
"61","Bowornrat","Sriman","บวรรัตน์ ศรีมาน","ภาควิชาเทคโนโลยีและสื่อสารการศึกษา","0","0","0","","",""
"62","PARINDA"," YAWONGSA","ปริญดา ยะวงศา","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
"63","PIYACHATE","TASING","ปิยเชษฐ์ ตะสิงห์","ภาควิชาวิทยาศาสตร์สุขภาพและการกีฬา","0","0","0","","",""
"64","RATCHANEEWAN ","TANGPUKDEE","รัชนีวรรณ ตั้งภักดี","ภาควิชาเทคโนโลยีและสื่อสารการศึกษา","0","0","0","","",""
"65","RATASA ","LAOHASURAYOTHIN","รัฐสาน์ เลาหสุรโยธิน","ภาควิชาเทคโนโลยีและสื่อสารการศึกษา","0","0","0","","",""
"66","LAKKANA ","SARIWAT","ลักขณา สริวัฒน์","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","0","0","0","","",""
"67","VANISA ","HAKOON","วรรณิษา หาคูณ","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
"68","WARANGKANA ","TESANA","วรางคณา เทศนา","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
"69","WATTHANAPONG ","KHONGSUEBSOR","วัฒนพงษ์ คงสืบเสาะ","ภาควิชาวิทยาศาสตร์สุขภาพและการกีฬา","0","0","0","","",""
"70","SRIKUNYARPHAT ","RANGSRIBORWORNKUL","ศรีกัญภัสสร์ รังษีบวรกุล","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
"71","Sukarnda ","Dankulprasert","สุกานดา ด่านกุลประเสริฐ","ภาควิชาวิจัยและพัฒนาการศึกษา","0","0","0","","",""
"72","ATTAPOL","THAMMARUNGSEE","อรรถพล ธรรมรังษี","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
"73","AUTTHAPON","PRAPASANOBOL","อรรถพล ประภาสโนบล","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
"74","Usa","Kaewkamkong","อุษา แก้วกำกง","ภาควิชาการบริหารการศึกษา","0","0","0","","",""
"75","DACHA ","JANTAKAT","เดชา จันทคัต","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
"76","Phachoen Kitrakarn","","เผชิญ กิจระการ","ภาควิชาเทคโนโลยีและสื่อสารการศึกษา","0","0","0","","",""
"77","PENPISUT ","MITHARAT","เพ็ญพิสุทธิ์ ไมตระรัตน์","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
"78","Yaowanuch ","Thanam","เยาวนุช ทานาม","ภาควิชาหลักสูตรและการสอน","0","0","0","","",""
